WS50M,WS10M,WS100M,WS80M
3.66,1.55,6.555,6.063
3.81,1.64,6.746,6.235
4.0,1.59,6.984,6.448
3.96,1.58,6.964,6.43
3.85,1.67,6.846,6.327
3.85,1.73,6.885,6.365
3.68,1.69,6.572,6.081
3.47,1.62,6.294,5.831
3.61,1.68,6.514,6.031
3.79,1.81,6.658,6.164
4.0,1.98,7.008,6.486
4.56,2.35,7.514,6.945
5.03,2.68,8.151,7.543
5.63,3.1,8.827,8.168
6.49,3.46,10.018,9.252
7.22,3.79,10.986,10.13
7.77,4.09,11.615,10.701
7.88,4.16,11.811,10.883
8.11,4.22,12.087,11.133
8.25,4.23,12.28,11.305
8.05,4.11,12.317,11.338
7.67,3.92,11.957,11.009
7.27,3.75,11.557,10.651
7.17,3.71,11.439,10.547
7.07,3.66,11.385,10.502
6.92,3.6,11.23,10.363
6.74,3.53,11.034,10.187
6.65,3.46,10.962,10.123
6.61,3.43,10.899,10.067
6.96,3.59,11.173,10.311
7.08,3.64,11.427,10.542
7.25,3.7,11.58,10.677
7.36,3.79,11.741,10.823
7.17,3.71,11.552,10.651
7.29,3.75,11.691,10.777
7.18,3.73,11.658,10.753
7.13,3.72,11.584,10.69
7.14,3.74,11.545,10.659
7.05,3.68,11.568,10.687
7.04,3.65,11.649,10.765
7.32,3.78,12.101,11.178
7.77,4.02,12.606,11.637
8.26,4.3,13.031,12.017
8.27,4.34,12.908,11.898
8.52,4.37,13.051,12.012
8.7,4.41,13.214,12.152
8.66,4.37,13.171,12.11
8.92,4.54,13.527,12.436
9.03,4.64,13.772,12.664
8.89,4.54,13.662,12.566
8.64,4.45,13.345,12.282
8.07,4.14,12.597,11.602
7.72,4.06,12.153,11.199
7.14,3.78,11.407,10.522
6.96,3.69,11.122,10.262
7.1,3.75,11.234,10.362
7.32,3.89,11.56,10.663
7.14,3.83,11.47,10.587
6.81,3.62,11.129,10.281
6.66,3.48,10.848,10.018
6.49,3.44,10.587,9.785
6.28,3.35,10.552,9.761
6.87,3.58,11.2,10.344
8.13,4.24,12.611,11.622
8.23,4.37,12.778,11.781
7.6,4.11,12.026,11.103
7.11,3.89,11.434,10.567
6.59,3.65,10.713,9.91
5.92,3.27,9.793,9.067
5.86,3.16,9.721,8.993
5.99,3.21,9.889,9.145
6.01,3.16,10.039,9.282
5.93,3.08,9.992,9.24
5.9,3.02,9.88,9.132
5.83,2.93,9.845,9.098
5.45,2.67,9.411,8.702
4.98,2.37,8.82,8.16
4.7,2.23,8.422,7.793
4.45,2.15,8.217,7.606
4.3,2.11,8.161,7.558
4.66,2.47,8.394,7.772
4.44,2.39,8.121,7.529
4.55,2.47,8.332,7.725
4.37,2.38,8.343,7.742
3.9,2.18,7.854,7.308
4.0,2.25,7.961,7.413
4.97,2.69,9.052,8.403
5.61,3.05,9.616,8.912
5.91,3.24,9.797,9.073
6.14,3.37,9.946,9.205
5.96,3.31,9.721,9.0
5.28,2.95,8.862,8.219
3.89,2.15,7.02,6.538
3.51,1.7,6.523,6.058
3.35,1.75,6.171,5.739
3.19,1.74,5.784,5.394
2.88,1.64,5.402,5.052
2.93,1.65,5.425,5.07
2.89,1.65,5.336,4.989
2.82,1.62,5.347,4.999
2.87,1.62,5.401,5.047
3.05,1.7,5.588,5.214
3.44,1.87,6.076,5.652
4.23,2.21,6.663,6.174
4.59,2.45,7.076,6.55
5.06,2.77,7.495,6.935
5.18,2.86,7.723,7.148
5.73,3.03,8.819,8.153
5.27,2.62,8.484,7.853
4.69,2.36,7.774,7.208
3.96,2.11,6.744,6.281
4.24,2.32,7.363,6.854
5.32,2.81,8.8,8.163
5.67,2.98,9.2,8.528
6.08,3.16,9.627,8.913
5.78,3.05,9.386,8.695
6.06,3.15,9.472,8.757
6.01,3.14,9.596,8.866
5.91,3.11,9.506,8.788
6.06,3.18,9.648,8.917
6.06,3.14,9.763,9.023
5.85,2.99,9.753,9.016
5.4,2.78,9.297,8.603
5.0,2.57,8.88,8.225
4.13,2.17,7.959,7.394
3.2,1.5,6.949,6.474
3.12,1.42,6.54,6.091
3.23,1.64,6.243,5.815
3.94,2.03,6.648,6.169
4.49,2.35,7.22,6.688
4.58,2.34,7.561,7.003
5.09,2.52,8.561,7.919
4.82,2.45,8.32,7.711
4.11,2.21,7.543,7.018
4.43,2.49,7.948,7.393
5.22,2.95,9.07,8.423
6.06,3.32,10.323,9.567
6.13,3.37,10.572,9.798
5.96,3.26,10.497,9.731
6.02,3.29,10.464,9.696
6.09,3.3,10.073,9.323
6.04,3.27,9.824,9.086
5.69,3.1,9.504,8.798
5.28,2.84,9.039,8.374
4.57,2.39,8.165,7.574
4.16,2.14,7.558,7.014
3.71,2.01,7.096,6.592
3.93,2.12,7.289,6.763
4.93,2.61,8.207,7.592
5.33,2.79,8.642,7.991
5.2,2.71,8.606,7.963
5.3,2.76,8.747,8.091
5.54,2.92,9.009,8.328
5.68,2.98,9.323,8.615
5.65,2.94,9.327,8.619
5.49,2.86,9.091,8.406
5.18,2.82,8.692,8.06
5.29,2.89,9.028,8.375
5.96,3.24,9.758,9.038
6.19,3.41,9.963,9.224
6.6,3.65,10.347,9.571
7.05,3.9,10.789,9.969
7.3,3.99,11.01,10.169
6.96,3.8,10.774,9.958
5.94,3.2,9.765,9.04
5.64,2.82,9.295,8.592
5.64,2.8,9.176,8.473
5.66,2.83,9.225,8.518
5.64,2.81,9.28,8.567
5.56,2.81,9.228,8.52
5.26,2.75,8.963,8.28
4.73,2.51,8.496,7.862
4.47,2.4,8.205,7.599
4.02,2.19,7.702,7.142
3.65,2.04,7.326,6.805
3.31,1.87,6.965,6.48
3.32,1.82,6.853,6.375
3.18,1.74,6.57,6.117
2.91,1.62,6.236,5.815
2.87,1.6,6.031,5.631
3.19,1.83,6.161,5.764
3.99,2.22,7.256,6.761
4.88,2.69,8.191,7.607
5.25,2.93,8.415,7.807
5.41,3.05,8.492,7.873
5.41,3.04,8.449,7.832
5.46,3.04,8.505,7.881
5.18,2.89,8.287,7.685
4.22,2.25,7.285,6.765
4.28,1.7,7.365,6.799
4.09,1.59,7.201,6.652
4.24,1.68,7.302,6.743
3.53,1.71,6.476,6.008
2.69,1.55,5.658,5.278
2.24,1.36,5.299,4.957
2.02,1.25,5.113,4.793
2.03,1.22,5.092,4.777
2.92,1.5,5.907,5.509
3.4,1.69,6.314,5.876
2.56,1.34,5.441,5.093
2.59,1.41,5.317,4.977
